Fold_id	trigram	type_of_bracketing
0 	world-n_stock-n_exchange-n 	R
0 	true-j_performance-n_label-n 	R
0 	government-n_capital-n_criterion-n 	R
0 	large-j_government-n_program-n 	R
0 	first-j_earthquake-n_briefing-n 	R
0 	monthly-j_trade-n_gap-n 	R
0 	animal-n_eye-n_surgery-n 	R
0 	monthly-j_cash-n_flow-n 	R
0 	recent-j_market-n_volatility-n 	R
0 	Japanese-j_discount-n_rate-n 	R
0 	lead-n_trial-n_lawyer-n 	R
0 	insufficient-j_computer-n_capacity-n 	R
0 	new-j_merchandise-n_mix-n 	R
0 	emotional-j_mine-n_field-n 	R
0 	heavy-j_investor-n_selling-n 	R
0 	major-j_campaign-n_issue-n 	R
0 	Dutch-j_chemical-n_group-n 	R
0 	chief-n_information-n_officer-n 	R
0 	total-j_gold-n_production-n 	R
0 	average-j_work-n_week-n 	R
0 	own-j_credit-n_card-n 	R
0 	extraordinary-j_work-n_program-n 	R
0 	total-j_advertising-n_linage-n 	R
0 	dismal-j_track-n_record-n 	R
0 	legitimate-j_business-n_expense-n 	R
0 	new-j_design-n_approach-n 	R
0 	failed-j_engine-n_disk-n 	R
0 	luxurious-j_life-n_style-n 	R
0 	general-j_job-n_satisfaction-n 	R
0 	high-definition-j_software-n_development-n 	R
0 	daily-j_news-n_briefing-n 	R
0 	old-j_building-n_stock-n 	R
0 	narrow-j_net-n_loss-n 	R
0 	entire-j_takeover-n_business-n 	R
0 	chief-n_market-n_strategist-n 	R
0 	second-j_money-n_manager-n 	R
0 	adequate-j_capital-n_base-n 	R
0 	controversial-j_real-estate-n_project-n 	R
0 	overseas-j_manufacturing-n_capacity-n 	R
0 	current-j_distribution-n_arrangement-n 	R
0 	heavy-j_trading-n_action-n 	R
0 	huge-j_production-n_system-n 	R
0 	corporate-j_defense-n_litigation-n 	R
0 	recent-j_trade-n_show-n 	R
0 	African-j_administrator-n_general-n 	R
0 	past-j_government-n_tolerance-n 	R
0 	group-n_operating-n_profit-n 	R
0 	joint-j_trade-n_group-n 	R
0 	total-j_fabrication-n_demand-n 	R
0 	large-j_volume-n_drop-n 	R
0 	new-j_retirement-n_account-n 	R
0 	significant-j_buying-n_interest-n 	R
0 	only-j_subscription-n_revenue-n 	R
0 	high-j_takeover-n_bid-n 	R
0 	senior-j_commodity-n_analyst-n 	R
0 	Japanese-j_news-n_agency-n 	R
0 	Bulgarian-j_emigration-n_crisis-n 	R
0 	healthy-j_consumer-n_demand-n 	R
0 	five-year-j_defense-n_plan-n 	R
0 	insurance-n_holding-n_company-n 	R
0 	great-j_car-n_company-n 	R
0 	world-n_business-n_competition-n 	R
0 	deep-j_drilling-n_project-n 	R
0 	European-j_paper-n_industry-n 	R
0 	first-j_network-n_show-n 	R
0 	vast-j_shadow-n_government-n 	R
0 	only-j_industry-n_group-n 	R
0 	new-j_issue-n_sector-n 	R
0 	French-j_tobacco-n_market-n 	R
0 	new-j_debt-n_agreement-n 	R
0 	average-j_life-n_expectancy-n 	R
0 	joint-j_news-n_conference-n 	R
0 	regular-j_dividend-n_payment-n 	R
0 	Alaskan-j_oil-n_spill-n 	R
0 	full-j_marketing-n_approval-n 	R
0 	standard-j_settlement-n_day-n 	R
